cohort,model,method,ece_mean,ece_std,mce_mean,mce_std,brier_mean,brier_std,n_folds_found,complete
toddler,logreg,raw,0.05007751013907791,0.003374107670354975,0.42713156979541206,0.01236870841010955,0.012111539681199558,0.0017625983942540797,3,True
toddler,logreg,platt,0.07382379156135847,0.0026772945509664025,0.39245107948909896,0.04438173007986497,0.010739626421738013,0.0015358802028759245,3,True
toddler,logreg,temperature,0.004062071316937249,0.0020940067867120334,0.16489282519108336,0.12798312190143593,0.0018364197599164973,0.0020330169043924996,3,True
toddler,logreg,histbin,0.002369668246445499,0.003351216972448094,0.16666666666666682,0.23570226039551587,0.0019747235387045825,0.001477747783086076,3,True
toddler,logreg,isotonic,0.0038047541250656562,0.0028885098872866973,0.31188896195756616,0.22453658381765154,0.001506274108053409,0.0011736369992922317,3,True
toddler,logreg,beta,0.0037214844421231594,0.003295733577935855,0.3650127158403804,0.29719985364424517,0.0018056376553578235,0.0019092838482975452,3,True
toddler,dtree,raw,0.08530805687203791,0.0193482602115575,0.13120557173853106,0.0413113651529544,0.08530805687203792,0.01934826021155749,3,True
toddler,dtree,platt,0.04192119635431835,0.0061132995775372454,0.07351727919533856,0.022847059410065543,0.07878924948959394,0.014085237687660597,3,True
toddler,dtree,temperature,0.03149076049803088,0.014673036669861266,0.04338036040584143,0.025553048115362426,0.07773110830324514,0.015966229889835017,3,True
toddler,dtree,histbin,0.015235589920555384,0.00940671096920616,0.03218516508692555,0.011448911743727388,0.07686879069245824,0.01509307409067327,3,True
toddler,dtree,isotonic,0.015235589920555384,0.00940671096920616,0.03218516508692555,0.011448911743727388,0.07686879069245824,0.01509307409067327,3,True
toddler,dtree,beta,0.015235024233544156,0.009406482644599017,0.0321853978723216,0.011446732048886386,0.07686878063220187,0.01509311402884707,3,True
toddler,knn,raw,0.04075829383886256,0.005843046448311828,0.21538461538461529,0.021757131728817002,0.04530805687203792,0.004965232551169209,3,True
toddler,knn,platt,0.07082402127238029,0.004582517217835276,0.20133206124289962,0.06861710257648955,0.046936531688312716,0.002977725420152335,3,True
toddler,knn,temperature,0.032154892019714554,0.011373242001347239,0.1994734393620492,0.019521442632397575,0.04359594592888972,0.006980338094138662,3,True
toddler,knn,histbin,0.026066592082761565,0.00783560063713554,0.2095469889587536,0.07610865594470068,0.04288616179836449,0.0032851572490852246,3,True
toddler,knn,isotonic,0.026066592082761565,0.00783560063713554,0.2095469889587536,0.07610865594470068,0.04288616179836449,0.0032851572490852246,3,True
toddler,knn,beta,0.02620289598283394,0.005960883604493034,0.21374426823293538,0.0989917294296115,0.0428142440341594,0.0028903125415256944,3,True
toddler,nb,raw,0.04947703477220602,0.011941152063567911,0.5334709608171463,0.09520678884389298,0.045298519973052565,0.01021914808781112,3,True
toddler,nb,platt,0.06931145022797487,0.022014598451108317,0.5334770584346252,0.06950718265857415,0.047427574886784875,0.008548696885150028,3,True
toddler,nb,temperature,0.04634844432983074,0.0011594443303567389,0.43346722694243406,0.052417838125402565,0.04245068191811543,0.0075857599599298536,3,True
toddler,nb,histbin,0.023472448832268733,0.012186080340655962,0.2777777777777778,0.15713484026367722,0.044962754489003894,0.018684308711104606,3,True
toddler,nb,isotonic,0.022638659102767838,0.006359512142984101,0.2018173197372953,0.11256027639681929,0.04094931191335926,0.010068734525087874,3,True
toddler,nb,beta,0.037874552332181365,0.005883671243612793,0.5203552588610213,0.04600894659557809,0.040882381382911843,0.008734459939639087,3,True
toddler,rf,raw,0.0807661927330174,0.0026218379956846954,0.35755952380952377,0.08009113820830076,0.034615600315955765,0.004100133419306419,3,True
toddler,rf,platt,0.08837768564192076,0.0021456191725369453,0.3505497576780483,0.010103758514933569,0.031521495469711815,0.005119071221425616,3,True
toddler,rf,temperature,0.02636906275056815,0.008234419284877373,0.5827173838551374,0.1375876958824905,0.022196698203277108,0.003985999313272987,3,True
toddler,rf,histbin,0.02562569955934885,0.013187948659646292,0.32275132275132273,0.20490882442259703,0.027165969001658324,0.0029121018164388023,3,True
toddler,rf,isotonic,0.02298076681962939,0.004748601853589057,0.4603174603174603,0.20604372993249473,0.024462040330730617,0.005213751676098006,3,True
toddler,rf,beta,0.025306948513757154,0.004987024539105392,0.4811304143730666,0.12764198069699612,0.021163189846468963,0.005920255912963039,3,True
toddler,svm,raw,0.03028262095293562,0.006365362967492895,0.4433068781072895,0.0602500534201332,0.014018694869904638,0.0009806458606045677,3,True
toddler,svm,platt,0.07141983213984993,0.0019001335670496518,0.5259366491825674,0.1796067462558691,0.01813500152112914,0.0015707654124237453,3,True
toddler,svm,temperature,0.021120868676879807,0.004007549218435608,0.6535669713014683,0.06659307384270224,0.01148947491543844,0.002967978547637546,3,True
toddler,svm,histbin,0.021379673512374964,0.0026703506884692726,0.275,0.11365151414154881,0.019105437330277027,0.004141315616725899,3,True
toddler,svm,isotonic,0.021286643026534043,0.008813632493768885,0.4141300692455789,0.17649922761818776,0.02016681107836143,0.005607625515151205,3,True
